x,AMACHE,,CON SUPPORTO,,,,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,58350,,X,,,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,50536,X,,,X,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,50535,X,,,X,,,,,,,,,,,,,
,SOFA' E SGABELLI POGGIAPEDI,47524,X,,,,,,,,,,,,,,,,
x,TAVOLINI,,TECNORATTAN ,ALLUMINIO,ACCIAIO,FERRO,RESINA,MATERIALI MISTI,PIANO IN TEAK,PIANO IN VETRO,TONDI,RETTANGOLARI,QUADRI,OVALI,,,,,
,TAVOLINI,47109,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,47345,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,47344,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,49123,X,,X,,,,,X,,X,,,,,,,
,TAVOLINI,49218,X,,X,,,,,X,,,X,,,,,,
,TAVOLINI,52622,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,52621,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,47581,X,,,,,,,X,,,,X,,,,,
,TAVOLINI,50281,X,,,,,,X,,,,X,,,,,,
,TAVOLINI,50296,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,50280,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,50295,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,52292,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,49371,,,X,,,,,X,,,X,,,,,,
,TAVOLINI,64230,,X,,,,,,,,,X,,,,,,
,TAVOLINI,52282,X,,,,,,,X,,,X,,,,,,
,TAVOLINI,58430,,X,,,,,,,,,X,,,,,,
,TAVOLINI,63170,,,,X,,,,,,,X,,,,,,
,TAVOLINI,47096,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50291,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50286,X,,,,,,X,,,X,,,,,,,
,TAVOLINI,50290,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,64220,,X,,,,,,,,X,,,,,,,
,TAVOLINI,49321,,,X,,,,,X,,X,,,,,,,
,TAVOLINI,50516,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50517,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50518,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,50515,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,47518,X,,,,,,,X,,X,,,,,,,
,TAVOLINI,52632,X,,,,,,,X,X,,,,,,,,
,TAVOLINI,52631,X,,,,,,,X,X,,,,,,,,
,TAVOLINI,47578,X,,,,,,,X,X,,,,,,,,
,TAVOLINI,47585,X,,,,,,,X,X,,,,,,,,
,TAVOLINI,8552887,,,,,X,,,,,X,,,,,,,
,TAVOLINI,8552894,,,,,X,,,,,X,,,,,,,
,TAVOLINI,8552900,,,,,X,,,,,X,,,,,,,
,TAVOLINI,8552924,,,,,X,,,,,,X,,,,,,
,TAVOLINI,8552931,,,,,X,,,,,,X,,,,,,
,TAVOLINI,8552948,,,,,X,,,,,,X,,,,,,
,TAVOLINI,50390,X,,,,,X,,X,,,X,,,,,,
,TAVOLINI,47598,X,,,,,X,,X,,,X,,,,,,
,TAVOLINI,58350,,X,,,,,,,,,X,,,,,,
,TAVOLINI,50536,X,,,,,X,,X,,,X,,,,,,
,TAVOLINI,50535,X,,,,,X,,X,,,X,,,,,,
x,SPECIALI,,,,,,,,,,,,,,,,,,
,SPECIALI,52502,,,,,,,,,,,,,,,,,
,SPECIALI,47304,,,,,,,,,,,,,,,,,
,SPECIALI,47310,,,,,,,,,,,,,,,,,
,SPECIALI,50656,,,,,,,,,,,,,,,,,
,SPECIALI,50655,,,,,,,,,,,,,,,,,
,SPECIALI,50010,,,,,,,,,,,,,,,,,
,SPECIALI,47561,,,,,,,,,,,,,,,,,
,SPECIALI,47770,,,,,,,,,,,,,,,,,
,SPECIALI,47120,,,,,,,,,,,,,,,,,
x,FIORIERE,,QUADRE,RETTANGOLARI,TONDE,ALTE,,,,,,,,,,,,,
,FIORIERE,34251,X,,,X,,,,,,,,,,,,,
,FIORIERE,34261,X,,,X,,,,,,,,,,,,,
,FIORIERE,34250,X,,,X,,,,,,,,,,,,,
,FIORIERE,34260,X,,,X,,,,,,,,,,,,,
,FIORIERE,34270,X,,,X,,,,,,,,,,,,,
,FIORIERE,34171,X,,,,,,,,,,,,,,,,
,FIORIERE,34181,X,,,,,,,,,,,,,,,,
,FIORIERE,34170,X,,,,,,,,,,,,,,,,
,FIORIERE,34180,X,,,,,,,,,,,,,,,,
,FIORIERE,34221,,X,,,,,,,,,,,,,,,
,FIORIERE,34211,,X,,,,,,,,,,,,,,,
,FIORIERE,34210,,X,,,,,,,,,,,,,,,
,FIORIERE,34220,,X,,,,,,,,,,,,,,,
,FIORIERE,34291,,,X,X,,,,,,,,,,,,,
,FIORIERE,34301,,,X,X,,,,,,,,,,,,,
,FIORIERE,34290,,,X,X,,,,,,,,,,,,,
,FIORIERE,34300,,,X,X,,,,,,,,,,,,,
x,GAZEBO PERGOLE E STRUTTURE OMBREGGIANTI,,ALLUMINIO,ACCIAIO,MISTO,FERRO,QUADRO,RETTANGOLARE,CON TENDE DI CHIUSURA,,,,,,,,,,
,GAZEBO PERGOLE E STRUTTURE OMBREGGIANTI,46490,,X,,,X,,,,,,,,,,,,
